Region,Gender,SubscriptionType,InternetUsageType,CustomerSupportCalls,ContractType,MonthlyCharges,TotalCharges,CallMinutesPerMonth,InternetGBPerMonth,NumberOfSMSPerMonth,TenureMonths,Age
South,Other,Postpaid,Light,Medium,Quarterly,76.97,988.85,534.13,40.91,139.0,69,61
East,Other,Postpaid,Moderate,High,Yearly,60.14,970.94,418.87,34.13,105.0,10,77
West,Other,Prepaid,Light,Medium,Quarterly,84.51,1249.69,415.44,39.5,145.0,21,63
West,Other,Postpaid,Heavy,High,Yearly,56.01,487.68,491.44,17.87,78.0,56,53
East,Female,Postpaid,Light,High,Yearly,31.55,1029.37,268.15,30.06,72.0,27,23
North-East,Male,Postpaid,Moderate,Low,Yearly,46.71,1507.83,588.08,27.64,84.0,34,57
North,Male,Postpaid,Light,Medium,Quarterly,32.64,752.59,595.05,46.97,96.0,35,36
West,Male,Postpaid,Moderate,Medium,Yearly,24.6,1045.24,569.58,26.38,100.0,4,69
South,Male,Postpaid,Moderate,High,Monthly,41.76,1071.73,495.35,27.64,66.0,39,24
North-East,Male,Prepaid,Heavy,Medium,Monthly,66.88,1012.43,385.12,26.33,72.0,7,50
West,Female,Postpaid,Heavy,Medium,Quarterly,62.14,1202.77,392.3,33.68,154.0,57,29
East,Female,Postpaid,Moderate,High,Yearly,79.88,997.1,633.27,31.69,90.0,7,71
East,Female,Postpaid,Heavy,Low,Yearly,41.63,508.54,631.97,32.41,127.0,38,31
Central,Male,Postpaid,Moderate,High,Quarterly,50.58,847.79,607.76,50.09,112.0,38,66
North-East,Female,Postpaid,Light,Medium,Yearly,45.75,891.8,462.17,31.36,77.0,44,41
North,Other,Prepaid,Light,Medium,Yearly,58.18,1169.23,571.38,22.26,36.0,44,24
East,Female,Postpaid,Moderate,Medium,Quarterly,48.04,1039.22,391.7,29.74,66.0,37,39
Central,Male,Postpaid,Heavy,Low,Quarterly,32.63,865.7,435.45,50.45,65.0,40,29
Central,Other,Prepaid,Moderate,Medium,Monthly,54.84,941.6,629.55,27.55,69.0,10,46
South,Female,Prepaid,Light,Low,Quarterly,12.73,1323.64,540.71,17.83,56.0,33,37
Central,Female,Postpaid,Heavy,Low,Yearly,49.81,948.85,656.53,43.01,96.0,17,19
North,Female,Prepaid,Light,Medium,Yearly,46.18,1324.17,390.46,15.48,118.0,70,74
South,Male,Postpaid,Heavy,High,Quarterly,45.85,850.98,526.85,24.31,122.0,65,51
East,Other,Postpaid,Heavy,Medium,Monthly,39.99,1483.77,573.43,24.48,113.0,9,50
North-East,Female,Prepaid,Light,High,Quarterly,13.77,408.74,445.02,43.86,102.0,52,54
East,Female,Prepaid,Moderate,Low,Monthly,42.09,794.96,622.9,34.27,103.0,9,27
Central,Female,Postpaid,Moderate,Low,Yearly,50.25,1541.97,531.48,31.68,124.0,19,70
West,Female,Postpaid,Moderate,High,Quarterly,57.85,1317.84,386.8,24.98,93.0,42,27
North,Female,Prepaid,Moderate,Medium,Quarterly,21.49,1299.55,420.64,21.53,89.0,2,57
North,Female,Prepaid,Heavy,Medium,Quarterly,37.46,1208.39,483.78,23.47,105.0,54,76
Central,Female,Postpaid,Moderate,Low,Quarterly,58.24,857.03,515.88,26.05,89.0,7,41
North,Male,Prepaid,Heavy,Low,Quarterly,42.3,789.62,649.12,35.16,75.0,47,66
South,Male,Postpaid,Heavy,High,Monthly,35.35,897.22,437.41,43.33,54.0,25,67
Central,Other,Prepaid,Moderate,Low,Quarterly,40.75,1186.8,645.75,44.16,107.0,50,29
West,Other,Prepaid,Light,Medium,Yearly,44.14,1082.61,318.99,41.75,119.0,16,30
East,Female,Prepaid,Heavy,High,Monthly,45.03,1464.05,484.72,38.99,89.0,54,21
North,Female,Postpaid,Moderate,Low,Quarterly,46.62,792.12,245.69,35.7,124.0,65,27
North-East,Other,Prepaid,Heavy,Medium,Monthly,62.96,1237.32,597.71,40.22,108.0,59,58
East,Other,Prepaid,Light,High,Monthly,61.84,533.98,607.79,36.57,13.0,62,18
West,Other,Prepaid,Moderate,Low,Monthly,40.82,459.98,385.01,9.9,81.0,37,40
West,Female,Prepaid,Light,Medium,Yearly,39.8,1346.36,427.57,11.55,99.0,44,24
South,Male,Prepaid,Light,Medium,Quarterly,27.37,892.1,434.43,27.12,184.0,47,44
West,Other,Prepaid,Light,High,Yearly,45.29,1254.76,661.88,17.68,163.0,67,61
West,Male,Postpaid,Moderate,Low,Yearly,31.49,870.58,569.4,13.51,142.0,58,49
North,Male,Postpaid,Heavy,Low,Quarterly,25.57,800.29,413.0,33.24,95.0,7,26
East,Other,Prepaid,Light,Medium,Yearly,54.92,1105.72,426.86,35.6,57.0,60,32
North-East,Other,Prepaid,Light,High,Monthly,49.58,781.16,416.69,43.73,148.0,7,36
North,Other,Postpaid,Heavy,High,Quarterly,71.16,1092.0,507.53,20.08,105.0,36,18
North,Female,Postpaid,Moderate,Medium,Monthly,57.14,1497.63,588.12,19.83,90.0,65,66
Central,Other,Postpaid,Light,Medium,Quarterly,56.76,1203.74,391.9,23.78,67.0,28,23
North-East,Other,Prepaid,Heavy,Low,Monthly,77.96,871.79,522.98,25.27,130.0,23,39
Central,Male,Postpaid,Light,High,Quarterly,56.84,1043.46,485.41,17.81,77.0,15,29
South,Female,Postpaid,Heavy,Low,Quarterly,65.07,964.08,551.13,21.0,128.0,63,59
North-East,Male,Prepaid,Light,High,Quarterly,47.31,931.68,444.89,25.1,89.0,24,67
South,Male,Prepaid,Moderate,Medium,Quarterly,41.55,984.11,312.96,29.18,154.0,39,77
West,Female,Prepaid,Heavy,High,Yearly,41.2,1004.2,369.92,26.45,142.0,20,34
South,Other,Prepaid,Heavy,Low,Quarterly,27.16,783.74,455.02,28.07,123.0,9,33
South,Other,Prepaid,Moderate,High,Monthly,52.98,604.73,440.99,35.57,91.0,47,54
West,Female,Prepaid,Light,Low,Quarterly,37.31,990.21,297.71,44.43,93.0,49,65
East,Male,Postpaid,Moderate,Medium,Monthly,44.1,1084.47,598.82,40.9,38.0,18,72
West,Other,Prepaid,Light,Medium,Quarterly,31.43,1294.78,582.89,6.75,113.0,16,77
West,Other,Prepaid,Moderate,High,Quarterly,51.18,442.95,519.67,18.16,66.0,49,41
East,Other,Postpaid,Heavy,Medium,Yearly,58.85,1686.5,521.56,45.3,149.0,1,34
West,Other,Postpaid,Moderate,High,Yearly,57.96,524.24,318.24,40.42,137.0,28,79
Central,Other,Prepaid,Heavy,Medium,Monthly,59.48,551.38,336.37,36.13,94.0,19,79
South,Male,Postpaid,Heavy,Low,Monthly,34.13,1210.44,482.43,31.71,94.0,36,42
West,Male,Postpaid,Heavy,Medium,Quarterly,49.59,906.04,561.47,27.74,107.0,20,77
North,Female,Postpaid,Light,Low,Quarterly,41.45,769.97,519.74,33.11,120.0,38,55
South,Female,Postpaid,Light,High,Yearly,82.76,490.34,471.67,31.75,87.0,43,39
Central,Female,Prepaid,Light,High,Monthly,63.49,1063.97,534.9,29.39,88.0,13,55
Central,Male,Prepaid,Heavy,Low,Monthly,42.53,499.47,370.43,42.58,136.0,49,60
West,Female,Prepaid,Moderate,High,Yearly,31.79,1225.6,519.33,39.42,112.0,46,28
East,Male,Prepaid,Heavy,Medium,Quarterly,50.33,1541.57,463.58,35.27,67.0,48,35
North,Male,Prepaid,Moderate,Low,Monthly,45.92,743.68,530.36,42.22,86.0,57,41
West,Male,Prepaid,Moderate,High,Quarterly,53.61,469.55,546.47,12.68,69.0,32,19
East,Other,Postpaid,Moderate,Medium,Yearly,43.21,893.77,426.85,18.92,76.0,62,30
Central,Female,Postpaid,Moderate,High,Monthly,61.86,1089.27,562.76,45.73,66.0,19,29
South,Male,Prepaid,Light,High,Quarterly,35.23,467.72,631.77,21.47,66.0,38,52
Central,Male,Postpaid,Light,High,Yearly,69.32,1090.43,555.77,27.56,95.0,14,29
West,Female,Postpaid,Moderate,Medium,Monthly,40.32,676.55,411.67,34.57,126.0,48,77
East,Female,Postpaid,Light,Medium,Monthly,69.31,656.49,311.37,37.07,72.0,57,29
West,Male,Prepaid,Light,Low,Yearly,47.95,1075.74,417.24,35.6,106.0,4,30
Central,Female,Postpaid,Heavy,High,Quarterly,42.91,1226.25,494.7,32.02,110.0,11,25
North,Other,Postpaid,Heavy,Medium,Yearly,55.33,1664.31,475.74,35.53,107.0,15,28
Central,Female,Prepaid,Light,Low,Yearly,49.06,1039.17,612.91,41.78,137.0,26,57
West,Female,Postpaid,Moderate,Medium,Quarterly,20.9,765.49,476.4,32.14,55.0,63,57
East,Male,Postpaid,Light,Low,Quarterly,23.26,495.61,290.88,29.85,74.0,28,30
West,Other,Prepaid,Heavy,High,Monthly,38.42,1180.85,257.19,30.95,121.0,33,55
South,Female,Prepaid,Heavy,High,Yearly,69.7,889.77,388.87,31.79,116.0,42,34
South,Male,Prepaid,Light,Medium,Yearly,46.49,1083.42,318.11,24.2,141.0,37,69
East,Male,Prepaid,Moderate,Low,Quarterly,35.36,1308.32,552.18,30.6,63.0,55,76
Central,Other,Postpaid,Light,Medium,Quarterly,34.04,894.85,621.08,25.16,69.0,37,39
West,Other,Postpaid,Moderate,Low,Yearly,59.33,848.2,546.64,22.9,59.0,67,65
North-East,Other,Prepaid,Light,Medium,Yearly,60.56,942.54,475.52,38.46,76.0,26,21
North-East,Female,Postpaid,Heavy,High,Quarterly,29.62,1091.57,653.77,34.6,119.0,30,64
South,Other,Postpaid,Light,High,Monthly,59.85,485.93,606.35,33.26,96.0,64,31
North,Female,Prepaid,Moderate,Medium,Quarterly,55.45,961.19,604.95,38.5,135.0,69,36
South,Other,Postpaid,Heavy,High,Yearly,66.83,1631.62,594.66,40.57,94.0,60,46
Central,Male,Postpaid,Heavy,Medium,Monthly,39.86,1492.99,500.06,29.42,105.0,37,25
East,Male,Postpaid,Moderate,High,Yearly,32.1,397.92,490.84,26.85,49.0,61,37
North,Other,Postpaid,Moderate,Low,Quarterly,34.18,457.23,547.3,12.59,64.0,60,63
West,Other,Prepaid,Moderate,High,Yearly,32.61,336.6,785.3,40.76,55.0,50,73
West,Female,Postpaid,Light,Medium,Yearly,54.08,1257.1,450.17,39.46,100.0,17,71
North-East,Male,Postpaid,Heavy,Medium,Quarterly,30.88,675.77,552.14,28.17,88.0,36,31
East,Other,Prepaid,Light,High,Monthly,75.91,915.61,421.75,21.11,114.0,13,73
North,Female,Prepaid,Heavy,Medium,Yearly,56.04,759.2,527.29,27.73,136.0,64,60
North,Other,Prepaid,Moderate,Medium,Quarterly,61.96,1163.24,406.18,13.81,78.0,55,19
North,Other,Prepaid,Heavy,Low,Monthly,70.99,480.77,411.59,45.3,107.0,16,76
East,Male,Prepaid,Light,Low,Yearly,60.41,1529.94,477.04,4.83,90.0,46,52
East,Female,Prepaid,Heavy,High,Yearly,59.85,1170.0,441.04,16.49,66.0,29,27
West,Female,Postpaid,Moderate,Medium,Quarterly,59.44,846.39,547.69,30.72,100.0,68,54
South,Female,Postpaid,Moderate,Medium,Monthly,62.16,1821.88,460.35,8.65,150.0,60,33
Central,Other,Prepaid,Heavy,Medium,Quarterly,61.74,1417.63,358.63,54.22,49.0,34,52
West,Other,Postpaid,Moderate,Low,Quarterly,61.85,1213.45,489.12,26.46,122.0,53,46
North-East,Other,Prepaid,Moderate,Low,Quarterly,76.98,960.69,423.49,32.91,100.0,36,79
North-East,Male,Postpaid,Moderate,Low,Yearly,36.03,950.12,405.99,23.56,99.0,11,40
North-East,Male,Prepaid,Moderate,Low,Yearly,59.86,801.2,534.01,48.93,65.0,36,77
North,Male,Postpaid,Light,Low,Quarterly,58.56,1369.41,449.29,32.09,111.0,63,62
South,Other,Prepaid,Moderate,High,Monthly,42.33,1056.22,473.97,32.48,139.0,64,55
Central,Other,Prepaid,Moderate,Low,Quarterly,68.89,916.84,414.82,50.58,107.0,65,36
North,Female,Prepaid,Moderate,High,Yearly,42.48,1412.4,489.33,2.3,107.0,42,52
East,Male,Postpaid,Light,Low,Monthly,59.2,961.78,442.07,34.05,72.0,41,57
South,Male,Prepaid,Heavy,High,Yearly,45.32,988.4,380.74,39.77,61.0,8,48
East,Other,Postpaid,Light,Low,Yearly,38.45,1400.06,332.16,37.59,60.0,25,19
Central,Female,Prepaid,Moderate,High,Quarterly,32.2,867.44,480.34,34.22,76.0,31,78
North-East,Male,Prepaid,Heavy,High,Quarterly,49.74,869.67,479.46,36.07,117.0,44,35
Central,Female,Postpaid,Heavy,High,Yearly,50.06,873.88,468.34,35.37,85.0,45,22
North,Female,Postpaid,Light,High,Quarterly,26.73,770.41,664.35,19.87,110.0,36,37
East,Other,Prepaid,Moderate,Low,Quarterly,54.8,989.19,532.14,24.77,139.0,39,45
West,Other,Postpaid,Light,Low,Monthly,83.6,921.43,556.77,23.47,97.0,58,51
North-East,Male,Prepaid,Moderate,Low,Monthly,25.06,788.41,334.0,42.45,50.0,66,34
West,Male,Postpaid,Light,Medium,Yearly,46.28,840.4,720.51,46.03,117.0,12,78
East,Female,Postpaid,Light,Low,Monthly,40.51,1321.87,568.64,29.29,113.0,34,69
Central,Female,Postpaid,Heavy,Medium,Quarterly,40.79,741.13,420.09,23.59,151.0,16,69
North-East,Female,Prepaid,Heavy,Low,Yearly,70.19,559.85,497.23,25.88,105.0,34,54
South,Female,Prepaid,Light,Medium,Monthly,43.98,1190.97,550.92,23.88,84.0,56,27
North-East,Other,Prepaid,Light,High,Quarterly,42.41,927.32,593.75,33.89,98.0,46,42
East,Other,Prepaid,Moderate,High,Yearly,44.06,1015.42,552.94,10.76,113.0,50,70
North,Male,Prepaid,Moderate,High,Quarterly,50.98,1214.55,425.69,29.03,78.0,32,31
West,Male,Prepaid,Heavy,Medium,Quarterly,58.71,1138.42,508.71,40.05,83.0,34,76
North-East,Female,Prepaid,Moderate,Low,Quarterly,68.93,869.63,520.12,0.87,93.0,6,47
North,Other,Prepaid,Moderate,High,Monthly,68.51,923.99,496.46,15.79,67.0,62,75
South,Male,Postpaid,Heavy,High,Yearly,56.65,754.67,275.66,23.2,154.0,52,35
West,Male,Prepaid,Light,High,Yearly,44.99,366.66,384.28,51.54,127.0,7,21
West,Female,Prepaid,Light,High,Yearly,71.34,1158.44,515.86,20.47,86.0,50,64
West,Male,Postpaid,Light,Low,Quarterly,70.1,1388.82,418.49,19.26,57.0,55,70
North-East,Female,Prepaid,Light,High,Yearly,52.09,1571.83,475.84,29.13,70.0,70,63
North,Female,Prepaid,Heavy,Medium,Yearly,51.94,1573.74,704.21,26.58,70.0,54,75
Central,Male,Postpaid,Heavy,Medium,Monthly,41.13,918.46,555.46,25.33,131.0,4,51
North,Male,Prepaid,Heavy,Low,Yearly,31.56,1096.06,481.72,24.0,85.0,28,56
Central,Male,Postpaid,Heavy,High,Yearly,53.21,1096.82,494.47,18.19,96.0,11,18
North-East,Male,Postpaid,Heavy,Medium,Quarterly,52.37,1118.45,573.08,55.9,108.0,3,60
East,Other,Prepaid,Light,High,Monthly,46.86,885.3,432.21,38.74,111.0,12,36
West,Male,Postpaid,Heavy,Medium,Quarterly,64.8,953.83,330.62,48.21,131.0,65,43
North,Other,Postpaid,Heavy,Low,Quarterly,49.08,651.14,469.68,30.17,125.0,58,63
South,Male,Postpaid,Moderate,Low,Monthly,76.38,1291.15,733.49,32.83,128.0,18,73
South,Female,Prepaid,Light,Low,Yearly,67.55,901.33,549.05,40.54,71.0,41,47
Central,Female,Postpaid,Heavy,Low,Yearly,60.4,1215.86,392.39,41.4,77.0,45,74
Central,Female,Prepaid,Heavy,Low,Yearly,66.79,910.1,654.89,26.83,91.0,27,42
West,Other,Prepaid,Moderate,High,Quarterly,49.16,635.91,568.55,14.39,124.0,47,44
Central,Other,Postpaid,Heavy,Medium,Monthly,48.5,1916.91,429.41,26.27,82.0,64,55
South,Male,Postpaid,Moderate,High,Quarterly,43.94,1313.86,304.57,47.76,160.0,8,59
North,Male,Postpaid,Moderate,High,Monthly,37.91,1010.43,634.07,49.85,133.0,21,57
North,Female,Postpaid,Moderate,High,Quarterly,46.07,895.17,782.12,35.57,66.0,55,18
Central,Other,Postpaid,Light,Low,Quarterly,67.14,647.08,441.55,16.76,88.0,22,72
Central,Female,Prepaid,Moderate,Medium,Yearly,68.08,793.39,464.5,39.52,113.0,12,44
North-East,Other,Prepaid,Moderate,High,Yearly,69.19,685.29,637.72,32.21,98.0,57,62
South,Male,Prepaid,Moderate,Medium,Quarterly,70.29,1427.48,533.83,35.89,107.0,70,24
East,Male,Prepaid,Heavy,Low,Monthly,38.75,1266.53,536.59,29.32,9.0,35,70
North,Male,Prepaid,Heavy,Medium,Monthly,53.5,909.87,545.4,16.21,78.0,16,60
Central,Other,Postpaid,Moderate,Low,Yearly,35.42,1044.6,574.67,30.79,74.0,23,20
North-East,Other,Prepaid,Heavy,Medium,Monthly,22.21,1492.59,539.11,35.25,126.0,24,70
North-East,Female,Postpaid,Heavy,Low,Quarterly,61.28,1352.89,449.59,21.72,74.0,43,24
North-East,Male,Prepaid,Moderate,High,Yearly,51.7,1088.0,418.57,37.6,62.0,55,74
North-East,Female,Prepaid,Moderate,Low,Monthly,43.27,1555.5,271.65,24.04,137.0,16,77
West,Female,Prepaid,Heavy,High,Yearly,50.53,905.42,462.81,38.43,87.0,63,55
Central,Male,Postpaid,Moderate,High,Yearly,14.33,897.29,359.26,35.96,107.0,2,45
Central,Male,Postpaid,Heavy,High,Monthly,49.65,942.44,641.07,26.08,142.0,57,25
North-East,Female,Postpaid,Light,High,Quarterly,54.82,1586.91,627.86,24.51,99.0,62,36
North,Male,Prepaid,Moderate,Low,Monthly,69.87,706.34,599.74,23.12,115.0,24,42
Central,Male,Prepaid,Heavy,Low,Quarterly,67.59,1454.37,531.53,41.75,90.0,68,36
West,Other,Postpaid,Light,Medium,Quarterly,38.06,765.11,376.48,32.08,112.0,31,63
West,Female,Prepaid,Heavy,High,Monthly,62.05,1214.28,483.01,13.6,144.0,44,65
North-East,Male,Prepaid,Moderate,High,Monthly,76.38,1041.45,556.0,41.88,121.0,22,37
West,Female,Postpaid,Heavy,Medium,Quarterly,68.19,718.64,508.07,16.04,134.0,68,77
South,Female,Postpaid,Heavy,Medium,Quarterly,36.92,963.47,366.41,7.87,148.0,57,66
West,Other,Postpaid,Light,Low,Yearly,64.62,1819.34,638.69,24.44,134.0,49,30
North-East,Female,Prepaid,Moderate,Low,Quarterly,59.4,967.29,499.0,38.92,104.0,64,33
North-East,Female,Postpaid,Heavy,High,Yearly,65.92,1031.52,514.83,31.42,135.0,60,19
North-East,Male,Prepaid,Light,Low,Quarterly,55.7,530.18,376.8,36.1,102.0,52,49
North,Male,Prepaid,Moderate,Low,Yearly,48.19,1466.02,644.22,31.31,116.0,16,57
East,Male,Prepaid,Moderate,Medium,Monthly,57.57,1235.46,587.54,11.8,144.0,11,58
Central,Male,Postpaid,Heavy,High,Monthly,65.18,698.03,548.23,31.92,118.0,71,27
Central,Other,Postpaid,Heavy,High,Monthly,58.3,1043.68,477.47,24.13,79.0,70,21
Central,Female,Prepaid,Heavy,High,Monthly,74.28,971.87,509.46,42.94,124.0,70,52
West,Male,Prepaid,Heavy,Medium,Quarterly,57.84,1247.37,469.67,37.03,91.0,53,65
West,Other,Prepaid,Light,Low,Monthly,21.99,965.75,391.56,16.39,109.0,35,57
West,Other,Prepaid,Moderate,High,Monthly,43.64,1328.3,474.21,30.62,111.0,14,67
East,Female,Postpaid,Heavy,Low,Yearly,56.67,785.33,445.56,40.45,79.0,60,22
East,Other,Postpaid,Heavy,Medium,Monthly,56.22,1213.39,369.91,34.41,86.0,51,36
East,Male,Prepaid,Light,Medium,Monthly,47.37,1444.75,652.13,33.0,118.0,60,39
East,Female,Postpaid,Heavy,Low,Monthly,49.88,1116.88,439.23,21.72,103.0,31,56
East,Female,Prepaid,Heavy,High,Yearly,42.93,742.48,612.93,16.53,110.0,65,55
Central,Female,Postpaid,Heavy,Low,Monthly,58.74,1034.04,544.59,34.52,145.0,28,73
Central,Other,Postpaid,Heavy,Low,Monthly,27.65,890.08,487.51,26.85,82.0,1,43
East,Male,Postpaid,Light,High,Monthly,30.02,1315.72,458.87,40.93,105.0,29,75
Central,Female,Postpaid,Light,Low,Quarterly,62.21,930.97,521.47,32.87,154.0,28,63
East,Male,Prepaid,Moderate,Medium,Quarterly,69.05,1081.78,511.62,19.1,101.0,40,44
East,Male,Postpaid,Moderate,High,Yearly,54.45,1100.7,437.37,21.46,103.0,67,20
East,Female,Postpaid,Light,Medium,Yearly,66.9,914.27,518.58,29.13,89.0,48,57
Central,Male,Prepaid,Light,Medium,Monthly,34.02,642.79,580.48,34.85,76.0,35,45
South,Other,Prepaid,Light,Low,Quarterly,47.15,957.53,591.37,43.46,97.0,66,51
South,Female,Prepaid,Light,Medium,Monthly,23.26,792.74,490.6,28.73,67.0,15,55
North-East,Other,Prepaid,Light,Medium,Monthly,54.69,1029.19,578.57,42.77,84.0,62,19
North-East,Female,Prepaid,Heavy,Low,Quarterly,68.4,1118.44,589.35,36.2,133.0,3,68
South,Female,Prepaid,Heavy,Medium,Yearly,41.59,776.33,407.44,24.86,58.0,68,32
North,Male,Prepaid,Light,Low,Yearly,44.68,564.32,587.95,42.19,127.0,15,63
South,Male,Postpaid,Light,High,Quarterly,30.53,1276.36,460.59,36.6,104.0,32,31
South,Male,Prepaid,Light,High,Monthly,67.24,888.7,462.93,36.15,98.0,33,39
South,Female,Postpaid,Light,High,Monthly,70.48,466.02,642.75,33.14,90.0,7,78
West,Other,Postpaid,Heavy,Low,Monthly,59.51,1061.23,564.17,30.47,111.0,18,25
East,Male,Postpaid,Light,High,Monthly,49.14,716.87,573.72,11.47,109.0,17,37
North-East,Other,Postpaid,Moderate,Low,Quarterly,35.91,1496.1,395.38,32.13,119.0,60,31
Central,Male,Postpaid,Light,High,Yearly,25.0,1698.31,437.75,19.72,39.0,53,49
West,Female,Postpaid,Heavy,Low,Quarterly,48.13,806.55,550.8,27.81,89.0,2,56
East,Female,Postpaid,Moderate,Low,Yearly,44.46,775.93,434.11,13.85,147.0,14,65
South,Male,Prepaid,Moderate,High,Monthly,57.48,914.65,516.43,24.12,127.0,27,43
South,Female,Postpaid,Heavy,Low,Monthly,49.38,1132.95,513.66,30.63,68.0,56,25
West,Other,Prepaid,Light,Medium,Monthly,49.67,848.93,451.13,19.61,110.0,70,30
Central,Other,Postpaid,Heavy,Medium,Quarterly,79.06,865.16,512.54,26.53,54.0,37,19
West,Male,Prepaid,Heavy,Low,Quarterly,54.1,910.31,567.41,22.18,104.0,52,40
West,Male,Postpaid,Moderate,Medium,Monthly,36.51,542.25,560.71,39.25,98.0,49,45
North-East,Male,Postpaid,Heavy,Low,Monthly,53.78,806.84,453.29,44.25,109.0,65,52
East,Female,Prepaid,Moderate,Medium,Yearly,60.49,836.95,438.83,32.13,154.0,49,38
North,Other,Postpaid,Moderate,Medium,Yearly,57.81,686.77,452.39,22.87,59.0,40,31
North-East,Other,Postpaid,Heavy,Low,Quarterly,45.46,663.75,577.69,27.28,143.0,7,58
Central,Female,Prepaid,Heavy,Low,Monthly,55.0,1103.7,418.57,19.87,57.0,8,30
Central,Female,Postpaid,Moderate,High,Yearly,50.72,1621.49,355.17,22.93,118.0,10,28
West,Female,Prepaid,Light,High,Monthly,53.36,520.54,410.6,32.53,110.0,34,46
West,Other,Postpaid,Moderate,Low,Monthly,39.72,1473.85,468.99,7.24,144.0,44,44
South,Female,Postpaid,Heavy,Medium,Quarterly,58.96,1275.1,439.31,21.21,83.0,29,74
West,Other,Prepaid,Heavy,Low,Quarterly,45.16,1020.89,711.85,26.94,152.0,12,63
East,Female,Prepaid,Light,High,Quarterly,64.83,634.95,550.63,30.3,38.0,17,33
South,Male,Prepaid,Heavy,Medium,Quarterly,54.84,1766.22,605.59,36.41,64.0,47,45
North,Male,Prepaid,Heavy,High,Quarterly,45.68,627.55,424.63,26.85,135.0,18,66
East,Female,Postpaid,Light,Medium,Monthly,42.99,1328.23,311.61,46.45,97.0,55,40
Central,Male,Postpaid,Moderate,Medium,Monthly,48.04,1458.09,452.1,44.0,76.0,59,40
Central,Male,Prepaid,Heavy,High,Monthly,54.42,1179.91,687.63,28.66,102.0,66,23
East,Female,Postpaid,Light,Low,Yearly,54.74,1577.53,522.28,29.82,110.0,9,63
North-East,Male,Prepaid,Heavy,Low,Quarterly,54.37,904.56,508.86,14.03,109.0,28,24
West,Female,Prepaid,Light,Low,Monthly,66.19,873.06,362.34,52.78,101.0,59,58
West,Other,Prepaid,Light,Medium,Quarterly,76.75,778.96,591.84,25.09,110.0,50,30
West,Male,Prepaid,Moderate,High,Yearly,47.75,1056.33,414.32,7.31,61.0,2,63
Central,Male,Prepaid,Moderate,Low,Quarterly,54.39,359.68,675.59,29.39,139.0,15,79
East,Male,Postpaid,Light,Low,Yearly,15.42,1378.61,380.14,55.39,93.0,42,56
West,Male,Prepaid,Moderate,Medium,Yearly,15.23,776.12,575.02,36.35,73.0,61,55
North-East,Other,Prepaid,Heavy,High,Monthly,40.45,1419.17,410.54,31.0,115.0,15,31
South,Female,Prepaid,Heavy,High,Yearly,82.98,414.46,591.07,33.45,110.0,60,37
Central,Female,Postpaid,Light,High,Quarterly,49.76,569.83,532.08,30.17,53.0,42,33
North-East,Female,Prepaid,Heavy,High,Monthly,40.45,1417.23,396.0,30.1,134.0,61,68
East,Female,Prepaid,Light,Medium,Monthly,56.49,1155.57,395.98,40.84,82.0,68,55
North-East,Male,Prepaid,Moderate,Low,Quarterly,42.19,1253.42,580.51,37.23,108.0,16,31
East,Other,Prepaid,Moderate,Medium,Quarterly,59.93,818.01,494.2,23.07,82.0,36,32
East,Male,Prepaid,Heavy,High,Quarterly,28.98,939.57,559.92,16.09,72.0,71,64
East,Other,Prepaid,Light,Medium,Monthly,43.19,921.21,489.03,30.26,129.0,50,63
North,Female,Postpaid,Light,Medium,Monthly,61.74,910.06,312.68,35.47,77.0,16,20
South,Other,Prepaid,Light,High,Monthly,48.8,1032.55,613.91,26.86,75.0,37,43
North-East,Female,Prepaid,Heavy,Medium,Quarterly,32.87,1209.21,540.84,24.64,119.0,27,55
North,Female,Prepaid,Moderate,High,Yearly,53.91,644.26,455.83,27.53,124.0,39,69
North-East,Other,Postpaid,Moderate,High,Quarterly,31.01,868.3,666.13,38.32,166.0,45,29
West,Other,Postpaid,Heavy,High,Quarterly,34.92,644.04,418.19,32.29,81.0,9,28
North-East,Female,Postpaid,Light,Medium,Yearly,42.09,866.03,434.87,42.9,70.0,38,30
North,Other,Postpaid,Moderate,Low,Quarterly,73.71,1168.77,705.78,26.08,86.0,60,66
North,Other,Prepaid,Moderate,Medium,Yearly,63.27,780.18,456.03,31.95,73.0,41,27
Central,Male,Prepaid,Heavy,High,Monthly,34.03,968.61,468.92,33.57,84.0,1,48
East,Other,Prepaid,Heavy,Medium,Yearly,39.45,1316.37,356.63,48.44,153.0,65,63
North,Female,Postpaid,Light,Medium,Monthly,49.96,676.03,439.15,44.83,100.0,23,31
East,Other,Prepaid,Moderate,Low,Yearly,42.76,1331.87,639.05,36.04,68.0,8,79
South,Other,Prepaid,Heavy,Medium,Monthly,73.34,1223.73,584.69,19.78,119.0,67,72
North,Male,Prepaid,Light,High,Yearly,29.47,1456.84,536.56,37.64,63.0,51,25
Central,Male,Prepaid,Moderate,High,Monthly,30.8,1372.75,385.5,42.39,109.0,62,22
Central,Female,Postpaid,Light,Medium,Monthly,62.29,829.54,638.53,28.73,99.0,68,28
West,Other,Postpaid,Light,High,Yearly,78.38,1348.78,428.04,46.0,112.0,31,26
North,Other,Postpaid,Light,High,Yearly,35.97,1385.63,339.58,32.01,90.0,35,22
South,Male,Prepaid,Heavy,Medium,Quarterly,60.92,840.37,522.62,20.18,128.0,18,76
